motif_name,naive_found,naive_time,boyer_moore_found,boyer_moore_time,pigeon_hole_mm0_found,pigeon_hole_mm0_time,pigeon_hole_mm0_ham1_found,pigeon_hole_mm0_ham2_found,pigeon_hole_mm0_ham3_found,pigeon_hole_mm0_ham4_found,pigeon_hole_mm0_ham5_found,pigeon_hole_mm1_found,pigeon_hole_mm1_time,pigeon_hole_mm1_ham1_found,pigeon_hole_mm1_ham2_found,pigeon_hole_mm1_ham3_found,pigeon_hole_mm1_ham4_found,pigeon_hole_mm1_ham5_found,pigeon_hole_mm2_found,pigeon_hole_mm2_time,pigeon_hole_mm2_ham1_found,pigeon_hole_mm2_ham2_found,pigeon_hole_mm2_ham3_found,pigeon_hole_mm2_ham4_found,pigeon_hole_mm2_ham5_found,pigeon_hole_mm3_found,pigeon_hole_mm3_time,pigeon_hole_mm3_ham1_found,pigeon_hole_mm3_ham2_found,pigeon_hole_mm3_ham3_found,pigeon_hole_mm3_ham4_found,pigeon_hole_mm3_ham5_found,pigeon_hole_mm4_found,pigeon_hole_mm4_time,pigeon_hole_mm4_ham1_found,pigeon_hole_mm4_ham2_found,pigeon_hole_mm4_ham3_found,pigeon_hole_mm4_ham4_found,pigeon_hole_mm4_ham5_found,pigeon_hole_mm5_found,pigeon_hole_mm5_time,pigeon_hole_mm5_ham1_found,pigeon_hole_mm5_ham2_found,pigeon_hole_mm5_ham3_found,pigeon_hole_mm5_ham4_found,pigeon_hole_mm5_ham5_found
M30_len50_ham0,True,3.308,True,1.202,True,1.089,False,False,False,False,False,True,2.097,True,False,False,False,False,True,5.637,True,True,False,False,False,True,5.053,True,True,True,False,False,True,10.192,True,True,True,True,False,True,10.792,True,True,True,True,True
M31_len50_ham0,True,3.317,True,0.748,True,1.142,False,False,False,False,False,True,2.288,True,False,False,False,False,True,5.823,True,True,False,False,False,True,6.666,True,True,True,False,False,True,9.377,True,True,True,True,False,True,11.278,True,True,True,True,True
M32_len50_ham0,True,3.826,True,1.383,True,3.104,False,False,False,False,False,True,5.978,True,False,False,False,False,True,5.942,True,True,False,False,False,True,8.394,True,True,True,False,False,True,10.045,True,True,True,True,False,True,11.729,True,True,True,True,True
M33_len50_ham0,True,3.292,True,0.898,True,0.956,False,False,False,False,False,True,1.509,True,False,False,False,False,True,3.773,True,True,False,False,False,True,4.755,True,True,True,False,False,True,7.096,True,True,True,True,False,True,9.804,True,True,True,True,True
M34_len50_ham0,True,3.966,True,1.065,True,1.912,False,False,False,False,False,True,4.828,True,False,False,False,False,True,4.866,True,True,False,False,False,True,8.645,True,True,True,False,False,True,10.362,True,True,True,True,False,True,10.607,True,True,True,True,True
M35_len50_ham0,True,3.609,False,1.279,True,3.431,False,False,False,False,False,True,5.166,True,False,False,False,False,True,6.396,True,True,False,False,False,True,10.381,True,True,True,False,False,True,10.547,True,True,True,True,False,True,12.149,True,True,True,True,True
M36_len50_ham0,True,4.009,True,1.142,True,1.362,False,False,False,False,False,True,2.245,True,False,False,False,False,True,4.424,True,True,False,False,False,True,5.229,True,True,True,False,False,True,7.192,True,True,True,True,False,True,9.233,True,True,True,True,True
M37_len50_ham0,True,3.494,True,0.959,True,1.615,False,False,False,False,False,True,2.789,True,False,False,False,False,True,5.339,True,True,False,False,False,True,6.765,True,True,True,False,False,True,7.859,True,True,True,True,False,True,10.906,True,True,True,True,True
M38_len50_ham0,True,3.339,True,0.884,True,1.417,False,False,False,False,False,True,3.268,True,False,False,False,False,True,4.439,True,True,False,False,False,True,8.350,True,True,True,False,False,True,9.562,True,True,True,True,False,True,11.190,True,True,True,True,True
M39_len50_ham0,True,3.399,True,1.190,True,2.234,False,False,False,False,False,True,4.173,True,False,False,False,False,True,8.261,True,True,False,False,False,True,8.972,True,True,True,False,False,True,11.850,True,True,True,True,False,True,13.476,True,True,True,True,True
M40_len120_ham0,True,3.686,True,0.808,True,0.954,False,False,False,False,False,True,2.823,True,False,False,False,False,True,3.851,True,True,False,False,False,True,6.419,True,True,True,False,False,True,8.057,True,True,True,True,False,True,9.601,True,True,True,True,True
M41_len120_ham0,True,3.299,True,1.329,True,1.115,False,False,False,False,False,True,2.052,True,False,False,False,False,True,3.893,True,True,False,False,False,True,5.634,True,True,True,False,False,True,7.586,True,True,True,True,False,True,7.476,True,True,True,True,True
M42_len120_ham0,True,3.310,True,1.565,True,3.221,False,False,False,False,False,True,5.254,True,False,False,False,False,True,8.353,True,True,False,False,False,True,9.079,True,True,True,False,False,True,9.744,True,True,True,True,False,True,12.889,True,True,True,True,True
